combo_features,actual,predicted,difference,accuracy_scale,accuracy_emp,std,bestpredictedvalue,bestpredictedrealvalue,bestpredictedtext,worstpredictedvalue,worstpredictedrealvalue,worstpredictedtext
['avg_word_length'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 5.2161413   5.27981308  4.91468085 ...,  5.57422764  5.31693182
  5.53465116]","[ 0.46465516  0.32283467  0.43450282 ...,  0.35737371  0.47009848
  0.24799169]",96.12788044512376,81.90274859987842,0.22892895963662116,[ 5.24592593],[ 5.24592593],"815    WASHINGTON ���� Secretary of State John Kerry ...
Name: text, dtype: object",[ 4.99859155],[ 6.03890323],"687    The sketch comedy group Murderfist begins ever...
Name: text, dtype: object"
['FK_GradeLevel'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 4.91468085  5.16110294  5.20509934 ...,  5.05037915  4.99735849
  5.17229885]","[ 0.76611561  0.20412452  0.14408433 ...,  0.16647479  0.78967181
  0.61034401]",94.71123252475248,75.28171502974166,0.2534364078687059,[ 5.17229885],[ 5.17525692],"335    Kira Milas has no idea who called 911 summonin...
Name: text, dtype: object",[ 4.8403871],[ 6.109],"36    It�۪s been a banner year for the cartoonist Ar...
Name: text, dtype: object"
['google_rank'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 5.85222222  5.39181818  6.0579661  ...,  5.48533333  5.84608     5.64586207]","[ 0.17142576  0.43483977  0.70878243 ...,  0.2684794   0.0590497
  0.13678079]",96.47633271621287,83.53132133929749,0.21320811515703214,[ 5.24592593],[ 5.24592593],"815    WASHINGTON ���� Secretary of State John Kerry ...
Name: text, dtype: object",[ 5.82850877],[ 4.64542373],"847    ISIOLO Kenya ���� Four members of Kenya's poli...
Name: text, dtype: object"
['lexical_density'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 5.43403141  5.775       5.90190217 ...,  5.3943956   5.67267606  5.775     ]","[ 0.24676505  0.81802158  0.5527185  ...,  0.17754167  0.11435425
  0.00764286]",96.52555042523515,83.76135175052086,0.20166022095451663,[ 5.24592593],[ 5.24592593],"815    WASHINGTON ���� Secretary of State John Kerry ...
Name: text, dtype: object",[ 5.600625],[ 4.50163934],"293    BAGHDAD ���� A suicide bomber killed 11 people...
Name: text, dtype: object"
['lyrics_rank'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 5.36765517  5.54695122  5.38496894 ...,  5.65641892  5.69535088
  5.17544554]","[ 0.31314129  0.5899728   0.03578527 ...,  0.43956499  0.09167943
  0.60719731]",96.53347382811882,83.79838361689221,0.20961709140130402,[ 5.24592593],[ 5.24592593],"815    WASHINGTON ���� Secretary of State John Kerry ...
Name: text, dtype: object",[ 5.775],[ 4.62832061],"89    An unarmed emotionally disturbed man shot at b...
Name: text, dtype: object"
['num_sentence'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 5.17588571  5.27429487  5.24507042 ...,  5.12        5.12        5.3705298 ]","[ 0.50491075  0.31731645  0.10411325 ...,  0.09685393  0.6670303
  0.41211306]",95.54406327569306,79.17414326185641,0.23590422689560217,[ 5.24592593],[ 5.24592593],"815    WASHINGTON ���� Secretary of State John Kerry ...
Name: text, dtype: object",[ 4.8403871],[ 5.97898551],"708    David N. Redden recited the opening of the 23r...
Name: text, dtype: object"
['nyt_rank'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 5.6668254   4.8403871   5.28411765 ...,  5.51652174  5.68324503
  5.65168675]","[ 0.01397106  0.11659132  0.06506603 ...,  0.29966781  0.10378527
  0.13095611]",96.48035330590346,83.55011250041129,0.21194444983381525,[ 5.24592593],[ 5.24592593],"815    WASHINGTON ���� Secretary of State John Kerry ...
Name: text, dtype: object",[ 6.05671141],[ 4.64542373],"847    ISIOLO Kenya ���� Four members of Kenya's poli...
Name: text, dtype: object"
['post_length'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 5.16870813  5.6815493   5.32546512 ...,  5.32034682  5.7269403
  5.49414013]","[ 0.51208833  0.72457088  0.02371856 ...,  0.10349289  0.06009     0.28850273]",96.54448961350246,83.84986845216977,0.2070093425726077,[ 5.24592593],[ 5.24592593],"815    WASHINGTON ���� Secretary of State John Kerry ...
Name: text, dtype: object",[ 5.96392857],[ 4.7542623],"722    KINSHASA/OSLO ���� A Norwegian man imprisoned ...
Name: text, dtype: object"
['twitter_rank'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 5.52564103  5.36267442  5.53801724 ...,  5.77076923  5.3943956
  5.69864516]","[ 0.15515543  0.405696    0.18883357 ...,  0.5539153   0.3926347   0.0839977 ]",96.6619758644307,84.39896777334862,0.2002599819165764,[ 5.24592593],[ 5.24592593],"815    WASHINGTON ���� Secretary of State John Kerry ...
Name: text, dtype: object",[ 5.94754098],[ 4.64542373],"847    ISIOLO Kenya ���� Four members of Kenya's poli...
Name: text, dtype: object"
['words_per_sentence'],"[ 5.68079646  4.95697842  5.34918367 ...,  5.21685393  5.7870303
  5.78264286]","[ 4.91468085  5.16110294  5.20509934 ...,  5.05037915  4.99735849
  5.17229885]","[ 0.76611561  0.20412452  0.14408433 ...,  0.16647479  0.78967181
  0.61034401]",94.69693356002475,75.21488549212752,0.2526827102082813,[ 5.17229885],[ 5.17525692],"335    Kira Milas has no idea who called 911 summonin...
Name: text, dtype: object",[ 4.8403871],[ 6.109],"36    It�۪s been a banner year for the cartoonist Ar...
Name: text, dtype: object"
