combo_features,actual,predicted,difference,accuracy,std,bestpredictedvalue,bestpredictedrealvalue,bestpredictedtext,worstpredictedvalue,worstpredictedrealvalue,worstpredictedtext
['avg_word_length'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 4.77025641  5.93310345  4.8856     ...,  5.11705882  5.93310345
  4.95837838]","[ 0.87813069  0.44565247  0.24317193 ...,  0.6107514   0.18756322
  0.64367642]",94.0,0.36239783775636675,[ 5.31285714],[ 5.31287671],"1949    I know curiosity killed the cat, but I simply ...
Name: review, dtype: object",[ 4.43142857],[ 6.30974359],"3883    I too was fortunate enough to see ""Checking Ou...
Name: review, dtype: object"
['FK_GradeLevel'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.38        5.465       5.51909091 ...,  5.31095238  5.26210526
  5.26235294]","[ 0.2683871   0.02245098  0.39031898 ...,  0.41685784  0.8585614
  0.33970185]",96.0,0.28120020969193366,[ 5.37],[ 5.37],"1102    One of the worst movie I have seen in 2009 so ...
Name: review, dtype: object",[ 5.05518519],[ 6.87882353],"2088    This movie is a classic. Kids now will love it...
Name: review, dtype: object"
['google_rank'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.30580645  5.50888889  6.012      ...,  5.505       5.689375    5.46      ]","[ 0.34258065  0.02143791  0.88322807 ...,  0.22281022  0.43129167
  0.14205479]",97.0,0.226269683422905,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  6.02631579  5.319375    5.73115385  5.9528      5.7575
  5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  6.02631579  5.319375    5.73115385  5.9528      5.7575
  5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 5.276],[ 6.59684211],"3124    All right guys, here's the deal with this movi...
Name: review, dtype: object"
['lexical_density'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.56217391  5.64203704  5.82636364 ...,  5.74932331  5.0784375
  5.26414634]","[ 0.08621318  0.15458606  0.69759171 ...,  0.02151309  1.04222917
  0.33790845]",95.0,0.30306711236801637,[ 5.8137931   5.52173913  5.65563218  5.319375    5.73177215  5.87891566],[ 5.8137931   5.52173913  5.65563218  5.319375    5.73177215  5.87891566],"3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3177    Following a roughly 7 year rocky road on NBC, ...
3182    I became a fan of the TV series `Homicide: Lif...
3846    I must warn you, there are some spoilers in it...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 5.14315789],[ 6.87882353],"2088    This movie is a classic. Kids now will love it...
Name: review, dtype: object"
['lyrics_rank'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.894       6.18588235  6.04057143 ...,  5.351875    5.68625     5.49      ]","[ 0.2456129   0.69843137  0.9117995  ...,  0.37593522  0.43441667
  0.11205479]",97.0,0.2261401126275644,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  6.02631579  5.319375    5.73115385  5.9528      5.7575
  5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  6.02631579  5.319375    5.73115385  5.9528      5.7575
  5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 5.44222222],[ 6.87882353],"2088    This movie is a classic. Kids now will love it...
Name: review, dtype: object"
['num_sentence'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.555       5.57979592  5.16       ...,  4.99792208  5.81611111
  5.41305556]","[ 0.0933871   0.09234494  0.03122807 ...,  0.72988814  0.30455556
  0.18899924]",95.0,0.30433272068192135,[ 5.47853333],[ 5.47847059],"1785    The big problem I had with this movie was that...
Name: review, dtype: object",[ 4.43142857],[ 6.49],"3052    Just love the interplay between two great char...
Name: review, dtype: object"
['nyt_rank'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.76814815  5.55233333  5.57585366 ...,  5.865       5.7173913
  5.52210526]","[ 0.11976105  0.06488235  0.44708173 ...,  0.13718978  0.40327536
  0.07994953]",97.0,0.22624793792675538,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.73115385  5.9528      5.7575
  5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.73115385  5.9528      5.7575
  5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 6.37],[ 4.96571429],"1109    This starts off in Pennsylvania in 1913. A bun...
Name: review, dtype: object"
['post_length'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 4.90678571  5.56769231  5.0906     ...,  4.96708333  5.74444444
  5.12395833]","[ 0.74160138  0.08024133  0.03817193 ...,  0.76072689  0.37622222
  0.47809646]",94.0,0.354896407222264,[ 5.96709677],[ 5.96666667],"1874    What on earth was that? My family and I just w...
Name: review, dtype: object",[ 4.43142857],[ 6.31666667],"3831    It is a nice comedy. It has the great features...
Name: review, dtype: object"
['twitter_rank'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.63416667  5.94297872  5.91666667 ...,  5.80714286  5.74588235
  6.00277778]","[ 0.01422043  0.45552774  0.78789474 ...,  0.07933264  0.37478431
  0.40072298]",97.0,0.2366987609026882,"[ 5.82818182  5.90465116  5.8137931   5.569       5.52173913  6.22551724
  5.2775      5.65563218  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.569       5.52173913  6.22551724
  5.2775      5.65563218  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3171    For all the Homicide junkies out there, this m...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 6.39142857],[ 4.72333333],"1588    I knew this would be one of the worst movies I...
Name: review, dtype: object"
['words_per_sentence'],"[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.38        5.465       5.51909091 ...,  5.31095238  5.26210526
  5.26235294]","[ 0.2683871   0.02245098  0.39031898 ...,  0.41685784  0.8585614
  0.33970185]",96.0,0.28118236738911023,[ 5.37],[ 5.37],"1102    One of the worst movie I have seen in 2009 so ...
Name: review, dtype: object",[ 5.05518519],[ 6.87882353],"2088    This movie is a classic. Kids now will love it...
Name: review, dtype: object"
