combo_features,actual,predicted,difference,accuracy,std,bestpredictedvalue,bestpredictedrealvalue,bestpredictedtext,worstpredictedvalue,worstpredictedrealvalue,worstpredictedtext
"['lexical_density', 'num_sentence', 'post_length', 'twitter_rank']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.73526316  5.33472222  5.61459459 ...,  5.603125    6.02214286
  5.5616129 ]","[ 0.08687606  0.15272876  0.48582266 ...,  0.12468522  0.09852381
  0.04044189]",96.50089015748202,0.21804228859821045,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 5.57714286],[ 6.87882353],"2088    This movie is a classic. Kids now will love it...
Name: review, dtype: object"
"['lexical_density', 'num_sentence', 'twitter_rank']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.73526316  5.97545455  5.61459459 ...,  5.603125    6.02214286
  5.5616129 ]","[ 0.08687606  0.48800357  0.48582266 ...,  0.12468522  0.09852381
  0.04044189]",96.48194390551541,0.2152610786378614,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 5.57714286],[ 6.87882353],"2088    This movie is a classic. Kids now will love it...
Name: review, dtype: object"
"['avg_word_length', 'lyrics_rank', 'nyt_rank', 'post_length']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.71461538  5.71943396  5.72171429 ...,  5.825       5.86294118
  5.73391304]","[ 0.06622829  0.23198298  0.59294236 ...,  0.09718978  0.25772549
  0.13185825]",96.47105996971938,0.21847372413107213,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.95105263  5.73115385
  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.95105263  5.73115385
  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3562    After all these years, of Peter O'Tool's brill...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 5.04153846],[ 6.44571429],"2667    Great movie in a Trainspotting style... Being ...
Name: review, dtype: object"
"['avg_word_length', 'num_sentence', 'twitter_rank']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.63481481  5.66774194  5.99416667 ...,  5.603125    6.02214286
  5.77232558]","[ 0.01357228  0.18029096  0.86539474 ...,  0.12468522  0.09852381
  0.17027079]",96.4672706573848,0.2172018538943364,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 6.01714286],[ 4.75869565],"1369    The worst part of all is the poor scripting, l...
Name: review, dtype: object"
"['avg_word_length', 'lexical_density', 'num_sentence', 'twitter_rank']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.63481481  5.97545455  5.47290323 ...,  5.603125    6.02214286
  5.5616129 ]","[ 0.01357228  0.48800357  0.3441313  ...,  0.12468522  0.09852381
  0.04044189]",96.46479672761083,0.21762983494343907,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 5.57714286],[ 6.87882353],"2088    This movie is a classic. Kids now will love it...
Name: review, dtype: object"
"['avg_word_length', 'nyt_rank', 'post_length']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.69314286  5.77688889  5.72171429 ...,  5.79104167  5.83888889
  5.92285714]","[ 0.04475576  0.28943791  0.59294236 ...,  0.06323145  0.28177778
  0.32080235]",96.45418159533779,0.2186529271100655,"[ 5.56        5.82818182  5.90465116  5.8137931   5.52173913  6.22551724
  5.2775      5.65563218  5.72134615  6.02631579  5.319375    5.73115385
  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","[ 5.56        5.82818182  5.90465116  5.8137931   5.52173913  6.22551724
  5.2775      5.65563218  5.72134615  6.02631579  5.319375    5.73115385
  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","2175    When the episode was made and aired Eisenhower...
3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 6.37],[ 5.0047619],"577    I got a kick out of Reynolds saying to his att...
Name: review, dtype: object"
"['avg_word_length', 'google_rank', 'lexical_density', 'lyrics_rank', 'nyt_rank', 'post_length', 'twitter_rank']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.43846154  5.59947368  5.72171429 ...,  5.825       5.99230769
  5.65833333]","[ 0.20992556  0.1120227   0.59294236 ...,  0.09718978  0.12835897
  0.05627854]",96.45167781253764,0.219425574084182,"[ 5.82818182  5.90465116  5.8137931   5.569       5.52173913  6.22551724
  5.2775      5.65563218  5.72134615  6.02631579  5.319375    5.95105263
  5.73115385  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.569       5.52173913  6.22551724
  5.2775      5.65563218  5.72134615  6.02631579  5.319375    5.95105263
  5.73115385  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3171    For all the Homicide junkies out there, this m...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3562    After all these years, of Peter O'Tool's brill...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 6.2325],[ 4.75869565],"1369    The worst part of all is the poor scripting, l...
Name: review, dtype: object"
"['avg_word_length', 'lexical_density', 'post_length']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.69314286  5.49875     5.36857143 ...,  5.4309375   5.83888889
  5.48962963]","[ 0.04475576  0.01129902  0.2397995  ...,  0.29687272  0.28177778
  0.11242516]",96.45067624330385,0.22185893491425188,"[ 5.56        5.82818182  5.90465116  5.8137931   5.52173913  6.22551724
  5.2775      5.65563218  5.72134615  6.02631579  5.319375    5.73115385
  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","[ 5.56        5.82818182  5.90465116  5.8137931   5.52173913  6.22551724
  5.2775      5.65563218  5.72134615  6.02631579  5.319375    5.73115385
  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","2175    When the episode was made and aired Eisenhower...
3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 6.37],[ 4.87862069],"819    Okay, it features one lovely blink-and-you-mis...
Name: review, dtype: object"
"['lyrics_rank', 'num_sentence', 'post_length', 'twitter_rank']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.555       5.33472222  5.16       ...,  5.63724138  6.02214286
  5.77232558]","[ 0.0933871   0.15272876  0.03122807 ...,  0.09056884  0.09852381
  0.17027079]",96.44770109424992,0.21313843409186595,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.73115385  5.9528
  5.7575      5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 5.57714286],[ 6.87882353],"2088    This movie is a classic. Kids now will love it...
Name: review, dtype: object"
"['lexical_density', 'post_length', 'twitter_rank']","[ 5.6483871   5.48745098  5.12877193 ...,  5.72781022  6.12066667
  5.60205479]","[ 5.69314286  5.72055556  5.53583333 ...,  5.56909091  5.59571429
  5.88864865]","[ 0.04475576  0.23310458  0.4070614  ...,  0.15871931  0.52495238
  0.28659385]",96.44728269730787,0.2174985691698536,"[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.95105263  5.73115385
  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","[ 5.82818182  5.90465116  5.8137931   5.52173913  6.22551724  5.2775
  5.65563218  5.72134615  6.02631579  5.319375    5.95105263  5.73115385
  5.9528      5.7575      5.73177215  5.66086957  5.87891566]","3166    I have always been a fan of the show so I'll a...
3167    Although there were a few rough spots and some...
3170    HLOTS was an outstanding series, its what NYPD...
3172    This is the final episode we deserved. At the ...
3174    The movie was excellent, save for some of the ...
3175    My favourite police series of all time turns t...
3177    Following a roughly 7 year rocky road on NBC, ...
3180    In all truth, this really isn't a ""movie"" so m...
3181    I have always been a huge fan of ""Homicide: Li...
3182    I became a fan of the TV series `Homicide: Lif...
3562    After all these years, of Peter O'Tool's brill...
3563    A somewhat typical bit of filmmaking from this...
3564    Peter O'Toole is a treat to watch in roles whe...
3566    The undoubted highlight of this movie is Peter...
3846    I must warn you, there are some spoilers in it...
3847    Im a huge M Lillard fan that's why I ended up ...
3848    Wow, I can't believe i'm the first and only on...
Name: review, dtype: object",[ 6.39142857],[ 4.72333333],"1588    I knew this would be one of the worst movies I...
Name: review, dtype: object"
